,basement_b'N',basement_b'Y',state_b'AZ',state_b'IN',state_b'MA',state_b'MN',state_b'MO',state_b'ND',state_b'PA',state_b'R5',activity,Uppm,floor,lat,lon,zip
71,0,1,0,1,0,0,0,0,0,0,218.30000352859497,2.39476,0,40.438,-85.006,47369
72,0,1,0,0,0,0,0,1,0,0,59.20000088214874,1.77863,0,46.717,-101.283,58520
73,0,1,0,0,0,0,0,0,0,1,55.5,0.552472,0,47.974,-94.937,56633
74,0,1,0,0,0,0,0,1,0,0,407.0,1.62023,0,47.922,-97.457,58201
75,1,0,0,0,0,0,0,1,0,0,62.900001764297485,1.65751,1,48.344,-103.479,58801
76,1,0,0,1,0,0,0,0,0,0,144.30000352859497,1.79318,1,41.472,-87.376,46403
77,0,1,0,0,0,0,0,0,1,0,48.099998235702515,2.63999,0,41.437,-75.61,18508
78,0,1,0,0,0,0,0,0,1,0,96.19999647140503,2.28582,0,40.495,-78.714,15946
79,0,1,0,0,1,0,0,0,0,0,492.10000705718994,1.82664,0,42.34,-72.664,1002
80,0,1,0,1,0,0,0,0,0,0,140.59999823570251,2.30591,0,40.484,-86.117,46901
81,1,0,0,0,0,0,1,0,0,0,236.80000352859497,1.92957,1,38.728,-93.285,65334
82,1,0,1,0,0,0,0,0,0,0,66.59999823570251,3.11518,1,33.349,-112.491,85308
83,1,0,0,0,0,0,0,0,1,0,40.70000088214874,2.1283,1,42.12,-80.098,16438
84,0,1,0,0,0,0,1,0,0,0,70.29999911785126,1.76109,0,38.506,-92.28,65109
85,0,1,0,0,0,0,0,1,0,0,99.90000176429749,1.70553,0,46.933,-97.248,58078
86,1,0,0,0,0,0,0,1,0,0,259.0,1.62023,1,47.922,-97.457,58201
87,0,1,0,0,0,0,1,0,0,0,66.59999823570251,1.66622,0,38.636,-90.245,63141
88,1,0,1,0,0,0,0,0,0,0,210.89999294281006,3.11518,1,33.349,-112.491,85253
89,1,0,1,0,0,0,0,0,0,0,40.70000088214874,3.11518,1,33.349,-112.491,85013
90,1,0,1,0,0,0,0,0,0,0,3.7000000551342964,3.11518,1,33.349,-112.491,85257
91,0,1,0,0,0,0,0,0,1,0,40.70000088214874,2.06501,0,41.234,-77.637,17764
92,0,1,0,0,0,0,0,0,1,0,318.2000141143799,2.3585,0,39.973,-75.749,19344
93,0,1,0,0,1,0,0,0,0,0,55.5,2.04101,0,42.289,-70.776,2184
94,0,1,0,0,0,0,0,0,1,0,214.60000705718994,1.82237,0,39.917,-75.4,19008
95,0,1,0,0,0,0,0,0,1,0,18.5,2.39804,0,41.649,-75.304,18431
96,1,0,1,0,0,0,0,0,0,0,48.099998235702515,3.11518,1,33.349,-112.491,85020
97,1,0,0,0,0,0,1,0,0,0,125.80000352859497,1.96648,1,38.647,-94.355,64701
98,0,1,0,0,0,0,1,0,0,0,48.099998235702515,1.72359,1,38.46,-91.861,65051
99,0,1,0,0,1,0,0,0,0,0,11.100000441074371,2.00698,0,42.639,-70.905,1921
100,0,1,0,1,0,0,0,0,0,0,133.19999647140503,1.12399,0,41.617,-86.29,46601
101,1,0,1,0,0,0,0,0,0,0,33.29999911785126,3.11518,1,33.349,-112.491,85040
102,0,1,0,1,0,0,0,0,0,0,976.7999858856201,1.69837,0,41.509,-87.073,46383
103,1,0,1,0,0,0,0,0,0,0,48.099998235702515,3.11518,1,33.349,-112.491,85051
104,0,1,0,0,0,0,0,1,0,0,62.900001764297485,1.99276,0,46.113,-103.52,58623
105,0,1,0,0,0,0,0,0,0,1,33.29999911785126,0.544319,0,46.949,-94.325,56484
106,0,1,0,0,0,0,0,0,1,0,11.100000441074371,2.49651,0,39.92,-76.727,17331
107,0,1,0,1,0,0,0,0,0,0,506.89999294281006,1.16237,0,41.597,-85.859,46517
108,0,1,0,0,0,1,0,0,0,0,125.80000352859497,0.428565,0,45.273,-93.246,55304
109,0,1,0,0,0,0,0,1,0,0,59.20000088214874,1.99276,0,46.113,-103.52,58623
110,0,1,0,0,0,0,0,1,0,0,33.29999911785126,1.35716,1,47.457,-98.237,58448
111,1,0,0,0,0,0,0,0,0,1,62.900001764297485,0.421763,1,46.335,-84.536,49783
112,0,1,0,0,0,0,1,0,0,0,281.19999647140503,1.68632,0,38.64,-90.444,63116
113,1,0,0,0,0,0,0,0,0,1,129.5,0.603508,1,47.72,-90.388,55605
114,0,1,0,0,1,0,0,0,0,0,181.30000352859497,1.96705,0,42.135,-72.632,1008
115,1,0,0,0,0,1,0,0,0,0,259.0,0.907991,1,45.005,-93.477,55316
116,0,1,0,0,0,0,0,1,0,0,107.30000352859497,1.48424,0,46.936,-98.071,58072
117,1,0,1,0,0,0,0,0,0,0,66.59999823570251,3.11518,1,33.349,-112.491,85024
118,0,1,0,0,0,0,1,0,0,0,51.79999911785126,2.10811,0,39.008,-94.347,64128
119,0,1,0,1,0,0,0,0,0,0,44.400001764297485,2.49759,0,41.091,-85.067,46806
120,0,1,0,0,0,0,0,1,0,0,33.29999911785126,1.33728,0,46.979,-98.958,58401
121,0,1,0,0,0,0,0,1,0,0,25.89999955892563,1.65751,0,48.344,-103.479,58801
122,0,1,0,1,0,0,0,0,0,0,222.0,2.06733,0,39.206,-85.898,47246
123,1,0,0,0,0,0,1,0,0,0,51.79999911785126,1.83228,1,39.143,-92.696,65248
124,1,0,0,0,1,0,0,0,0,0,77.69999647140503,2.5116,1,42.351,-71.908,1510
125,0,1,0,0,0,0,0,0,1,0,33.29999911785126,2.1283,0,42.12,-80.098,16509
126,0,1,0,0,1,0,0,0,0,0,33.29999911785126,1.82664,0,42.34,-72.664,1002
127,0,1,0,0,0,0,0,0,1,0,29.60000044107437,2.67869,0,41.177,-75.989,18642
128,0,1,0,0,0,0,0,1,0,0,969.4000282287598,1.70553,0,46.933,-97.248,58103
129,0,1,0,0,0,0,0,0,1,0,173.89999294281006,3.3116,0,40.613,-75.593,18052
130,1,0,1,0,0,0,0,0,0,0,62.900001764297485,2.71407,1,35.704,-113.757,86403
131,0,1,0,0,0,0,0,0,1,0,159.10000705718994,3.15469,0,41.058,-75.339,18344
132,0,1,0,0,1,0,0,0,0,0,40.70000088214874,2.5116,0,42.351,-71.908,1523
133,1,0,0,0,0,0,1,0,0,0,37.0,1.84293,0,37.258,-93.342,65742
134,0,1,0,0,1,0,0,0,0,0,48.099998235702515,2.43343,0,42.485,-71.392,2173
135,0,1,0,0,0,0,0,0,1,0,37.0,1.99456,0,41.815,-79.274,16350
136,0,1,0,0,0,0,0,0,0,1,162.80000352859497,0.869524,0,46.7,-88.352,49946
137,1,0,0,0,0,0,1,0,0,0,318.2000141143799,1.84973,1,39.44,-92.497,65270
138,0,1,0,1,0,0,0,0,0,0,236.80000352859497,2.29213,0,40.04,-86.893,47933
139,0,1,0,0,0,0,0,1,0,0,114.69999647140503,1.51247,0,47.607,-101.322,58579
140,0,1,0,0,0,0,0,0,1,0,48.099998235702515,2.04444,0,40.415,-76.78,17048
141,0,1,0,0,0,0,0,1,0,0,207.19999647140503,1.70553,0,46.933,-97.248,58103
142,0,1,0,1,0,0,0,0,0,0,37.0,1.88168,0,38.688,-87.419,47528
143,0,1,0,0,0,1,0,0,0,0,199.80000352859497,1.2011,1,43.978,-94.614,56088
144,1,0,0,0,0,0,0,1,0,0,122.09999823570251,1.70553,1,46.933,-97.248,58012
145,1,0,0,0,0,0,0,0,0,1,66.59999823570251,0.603508,1,47.72,-90.388,55605
146,0,1,0,0,0,1,0,0,0,0,66.59999823570251,0.66992,0,47.109,-94.916,56633
147,0,1,0,0,0,0,0,1,0,0,40.70000088214874,1.54905,0,46.977,-100.469,58501
148,1,0,1,0,0,0,0,0,0,0,62.900001764297485,3.11518,1,33.349,-112.491,85014
149,1,0,0,0,0,0,1,0,0,0,392.2000141143799,2.17261,1,37.81,-90.473,63601
150,1,0,1,0,0,0,0,0,0,0,40.70000088214874,3.11518,1,33.349,-112.491,85014
151,1,0,1,0,0,0,0,0,0,0,207.19999647140503,3.43326,1,32.097,-111.789,85718
152,0,1,0,0,0,0,0,1,0,0,70.29999911785126,1.62023,0,47.922,-97.457,58201
153,0,1,0,0,0,0,0,1,0,0,377.39999294281006,1.14684,0,48.235,-100.636,58747
154,0,1,0,1,0,0,0,0,0,0,151.69999647140503,2.37492,1,40.829,-85.488,46750
155,1,0,0,0,0,0,1,0,0,0,14.800000220537186,1.80362,1,40.128,-92.148,63547
156,1,0,1,0,0,0,0,0,0,0,170.19999647140503,3.11518,1,33.349,-112.491,85202
157,0,1,0,0,0,1,0,0,0,0,151.69999647140503,0.808928,0,48.775,-95.81,56751
158,0,1,0,0,0,0,0,0,0,1,40.70000088214874,1.14643,0,44.789,-88.766,54416
159,0,1,0,0,1,0,0,0,0,0,114.69999647140503,1.42956,0,41.987,-70.736,2333
160,0,1,0,1,0,0,0,0,0,0,14.800000220537186,1.12399,0,41.617,-86.29,46628
161,0,1,0,0,0,0,1,0,0,0,29.60000044107437,1.68632,0,38.64,-90.444,63031
162,0,1,0,0,0,0,0,0,0,1,2874.899887084961,1.26282,0,43.946,-90.618,54660
163,0,1,0,1,0,0,0,0,0,0,81.40000176429749,1.12399,0,41.617,-86.29,46617
164,1,0,0,1,0,0,0,0,0,0,318.2000141143799,2.26369,1,38.399,-87.232,47567
165,0,1,0,0,0,1,0,0,0,0,107.30000352859497,1.31208,0,44.035,-94.067,56010
166,0,1,0,1,0,0,0,0,0,0,59.20000088214874,1.16237,0,41.597,-85.859,46516
167,1,0,0,1,0,0,0,0,0,0,7.400000110268593,2.08592,1,40.162,-85.719,46011
168,1,0,0,0,0,0,1,0,0,0,421.7999858856201,1.96648,1,38.647,-94.355,64747
169,0,1,0,0,0,0,0,0,0,1,325.60000705718994,0.799068,0,45.88,-91.144,54876
170,0,1,0,0,1,0,0,0,0,0,37.0,2.00698,0,42.639,-70.905,1841
171,0,1,0,0,0,0,0,1,0,0,33.29999911785126,1.70553,0,46.933,-97.248,58102
172,0,1,0,0,0,0,0,0,0,1,70.29999911785126,1.04286,0,44.474,-87.993,54155
173,0,1,0,0,0,0,0,0,1,0,81.40000176429749,2.67869,1,41.177,-75.989,18618
174,0,1,0,0,0,0,0,0,1,0,70.29999911785126,2.95083,0,40.337,-75.107,19067
175,0,1,0,0,0,0,0,0,1,0,144.30000352859497,2.67972,0,40.042,-76.248,17603
176,0,1,0,0,0,0,0,1,0,0,33.29999911785126,1.67647,0,47.454,-97.161,58257
177,0,1,0,0,0,0,0,0,1,0,66.59999823570251,3.28,0,40.007,-75.135,19115
178,0,1,0,0,1,0,0,0,0,0,414.39999294281006,1.68913,1,41.757,-71.089,2769
179,1,0,1,0,0,0,0,0,0,0,40.70000088214874,2.34707,1,31.879,-109.751,85635
180,0,1,0,1,0,0,0,0,0,0,29.60000044107437,1.64191,0,41.047,-86.264,46939
181,0,1,0,0,0,0,0,0,1,0,74.0,2.05186,0,40.164,-77.266,17055
182,1,0,0,0,1,0,0,0,0,0,103.59999823570251,1.42956,0,41.987,-70.736,2360
183,0,1,0,0,1,0,0,0,0,0,81.40000176429749,2.43343,0,42.485,-71.392,1826
184,0,1,0,0,0,0,1,0,0,0,188.69999647140503,2.10811,0,39.008,-94.347,64131
185,1,0,0,1,0,0,0,0,0,0,40.70000088214874,1.97454,1,38.709,-86.803,47553
186,0,1,0,0,1,0,0,0,0,0,59.20000088214874,2.43343,0,42.485,-71.392,2174
187,0,1,0,0,0,0,0,0,1,0,136.90000176429749,2.56866,0,40.468,-79.982,15216
188,0,1,0,0,0,0,0,0,1,0,203.5,2.74915,0,41.821,-75.801,18847
189,1,0,0,0,0,0,1,0,0,0,40.70000088214874,1.79311,1,37.203,-94.34,64862
190,0,1,0,0,0,0,0,1,0,0,77.69999647140503,1.77863,0,46.717,-101.283,58554
191,0,1,0,0,0,0,1,0,0,0,25.89999955892563,1.83228,0,39.143,-92.696,65254
192,1,0,0,0,0,0,0,1,0,0,14.800000220537186,1.62023,1,47.922,-97.457,58201
193,0,1,0,0,0,1,0,0,0,0,96.19999647140503,0.910987,0,46.013,-94.268,56382
194,0,1,0,0,0,1,0,0,0,0,1820.4000282287598,0.622088,1,47.588,-92.462,55741
195,1,0,0,1,0,0,0,0,0,0,11.100000441074371,2.24875,1,39.769,-86.51,46112
196,0,1,0,1,0,0,0,0,0,0,3.7000000551342964,2.06733,0,39.206,-85.898,47203
197,0,1,0,0,0,0,1,0,0,0,251.60000705718994,1.8345,0,39.87,-93.107,64628
198,0,1,0,0,0,0,0,0,1,0,136.90000176429749,2.61454,0,40.652,-79.088,15747
199,0,1,0,0,0,0,1,0,0,0,33.29999911785126,2.13528,0,36.855,-89.944,63841
200,0,1,0,1,0,0,0,0,0,0,66.59999823570251,2.49759,0,41.091,-85.067,46803
201,0,1,0,0,0,1,0,0,0,0,66.59999823570251,0.622088,1,47.588,-92.462,55807
202,0,1,0,0,0,0,0,0,0,1,29.60000044107437,0.869524,0,46.7,-88.352,49946
203,1,0,0,0,0,0,0,0,1,0,33.29999911785126,2.00134,1,39.92,-79.647,15468
204,0,1,0,0,0,0,1,0,0,0,477.2999858856201,1.72085,0,38.411,-91.075,63077
205,0,1,0,0,0,0,1,0,0,0,62.900001764297485,2.10811,0,39.008,-94.347,64123
206,1,0,0,0,0,0,1,0,0,0,192.39999294281006,2.10811,1,39.008,-94.347,64052
207,0,1,0,0,1,0,0,0,0,0,103.59999823570251,2.00698,0,42.639,-70.905,1944
208,1,0,0,0,0,0,0,0,0,1,33.29999911785126,0.421763,1,46.335,-84.536,49783
209,0,1,0,0,1,0,0,0,0,0,29.60000044107437,1.68913,0,41.757,-71.089,2726
210,0,1,0,0,0,0,0,0,1,0,203.5,2.56866,1,40.468,-79.982,15143
211,0,1,0,0,0,0,0,1,0,0,155.39999294281006,1.70553,0,46.933,-97.248,58102
212,1,0,0,1,0,0,0,0,0,0,273.80000352859497,1.58091,1,41.244,-85.861,46580
213,0,1,0,0,0,0,1,0,0,0,114.69999647140503,1.77261,1,37.616,-93.4,65601
214,0,1,0,0,0,0,0,0,1,0,25.89999955892563,2.61898,0,40.912,-79.913,16033
215,0,1,0,1,0,0,0,0,0,0,25.89999955892563,1.12399,0,41.617,-86.29,46615
216,0,1,0,0,0,0,1,0,0,0,22.200000882148743,1.98276,1,39.66,-94.806,64507
217,0,1,0,0,0,1,0,0,0,0,273.80000352859497,1.01386,0,48.358,-96.369,56710
218,1,0,1,0,0,0,0,0,0,0,18.5,3.11518,1,33.349,-112.491,85204
219,0,1,0,0,1,0,0,0,0,0,277.5,2.00698,0,42.639,-70.905,1945
220,0,1,0,0,0,0,0,0,1,0,103.59999823570251,2.82376,0,40.812,-79.465,16242
221,0,1,0,0,0,0,0,0,1,0,1938.8000564575195,2.56866,0,40.468,-79.982,15223
222,0,1,0,1,0,0,0,0,0,0,48.099998235702515,1.90687,0,38.786,-85.439,47250
223,0,1,0,0,0,0,1,0,0,0,96.19999647140503,1.68802,0,37.941,-93.321,65732
224,0,1,0,0,0,0,0,0,1,0,77.69999647140503,2.37618,0,40.311,-79.468,15642
225,0,1,0,0,0,0,0,0,1,0,236.80000352859497,2.39804,0,41.649,-75.304,18463
226,0,1,0,0,0,0,0,1,0,0,151.69999647140503,1.62023,0,47.922,-97.457,58251
227,0,1,0,0,0,0,0,0,0,1,173.89999294281006,0.88449,0,44.416,-88.465,54115
228,1,0,0,0,0,0,0,1,0,0,44.400001764297485,1.99276,1,46.113,-103.52,58623
229,0,1,0,0,0,0,0,1,0,0,2023.9000282287598,1.54905,0,46.977,-100.469,58501
230,0,1,0,0,0,0,0,1,0,0,111.0,1.36463,0,46.265,-96.948,58075
231,0,1,0,0,0,0,1,0,0,0,122.09999823570251,1.74171,0,37.877,-91.792,65401
232,0,1,0,0,1,0,0,0,0,0,880.5999717712402,2.43343,1,42.485,-71.392,1876
233,0,1,0,0,0,0,0,1,0,0,14.800000220537186,1.38757,0,48.369,-97.721,58270
234,0,1,0,0,0,0,0,0,0,1,177.60000705718994,0.869524,0,46.7,-88.352,49946
235,0,1,0,1,0,0,0,0,0,0,44.400001764297485,2.58834,0,40.745,-84.937,46733
236,0,1,0,0,1,0,0,0,0,0,133.19999647140503,2.43343,1,42.485,-71.392,1752
237,0,1,0,0,0,0,0,0,0,1,88.80000352859497,0.622088,0,47.588,-92.462,55790
238,0,1,0,0,0,0,0,0,1,0,44.400001764297485,2.56866,0,40.468,-79.982,15102
239,1,0,0,0,0,0,1,0,0,0,44.400001764297485,1.9036,1,39.514,-92.962,65281
240,0,1,0,0,1,0,0,0,0,0,18.5,1.96705,0,42.135,-72.632,1020
241,0,1,1,0,0,0,0,0,0,0,151.69999647140503,3.43326,1,32.097,-111.789,85743
242,0,1,0,0,1,0,0,0,0,0,37.0,2.04101,0,42.289,-70.776,2054
243,1,0,1,0,0,0,0,0,0,0,843.5999717712402,3.11518,1,33.349,-112.491,85234
244,0,1,0,0,0,0,0,0,1,0,318.2000141143799,2.37216,0,40.991,-80.334,16101
245,1,0,0,1,0,0,0,0,0,0,77.69999647140503,1.98755,1,39.431,-87.39,47802
246,0,1,0,0,1,0,0,0,0,0,11.100000441074371,2.04101,0,42.289,-70.776,2081
247,0,1,0,0,0,0,0,1,0,0,133.19999647140503,1.3624,0,48.767,-97.552,58225
248,1,0,0,0,0,0,0,0,0,1,114.69999647140503,0.896613,1,44.455,-90.042,54489
249,0,1,0,0,0,0,0,0,1,0,37.0,2.55323,0,40.682,-80.35,15010
250,1,0,0,0,0,0,0,1,0,0,44.400001764297485,1.71129,0,47.115,-101.34,58530
251,1,0,1,0,0,0,0,0,0,0,562.3999929428101,3.11518,1,33.349,-112.491,85040
252,0,1,0,0,0,0,1,0,0,0,144.30000352859497,1.63217,0,38.261,-90.538,63010
253,0,1,0,0,0,0,0,0,0,1,103.59999823570251,0.319494,0,46.948,-86.572,49862
254,1,0,0,0,0,0,0,0,1,0,170.19999647140503,3.3116,1,40.613,-75.593,18103
255,0,1,0,0,0,0,0,1,0,0,107.30000352859497,1.70553,0,46.933,-97.248,58078
256,0,1,0,0,1,0,0,0,0,0,77.69999647140503,1.96705,0,42.135,-72.632,1057
257,1,0,0,1,0,0,0,0,0,0,44.400001764297485,2.49759,1,41.091,-85.067,46835
258,0,1,0,0,0,0,0,0,1,0,81.40000176429749,2.61454,0,40.652,-79.088,15717
259,0,1,0,0,1,0,0,0,0,0,111.0,1.96705,0,42.135,-72.632,1022
260,0,1,0,0,0,0,0,0,1,0,7.400000110268593,2.37618,0,40.311,-79.468,15601
261,1,0,0,1,0,0,0,0,0,0,170.19999647140503,2.05611,1,38.024,-87.868,47712
262,0,1,0,0,0,0,0,0,1,0,25.89999955892563,2.24475,0,41.302,-80.258,16133
263,0,1,0,0,0,0,0,0,1,0,148.0,1.98205,0,40.92,-77.821,16801
264,0,1,0,0,0,0,0,0,1,0,166.5,2.24475,0,41.302,-80.258,16125
265,0,1,0,0,0,0,1,0,0,0,314.5,2.10811,0,39.008,-94.347,64134
266,0,1,0,0,0,0,1,0,0,0,48.099998235702515,1.80803,0,38.764,-91.161,63383
267,1,0,1,0,0,0,0,0,0,0,11.100000441074371,3.11518,1,33.349,-112.491,85225
268,0,1,0,0,0,0,0,1,0,0,103.59999823570251,1.33728,0,46.979,-98.958,58401
269,0,1,0,0,0,0,0,0,1,0,188.69999647140503,2.56866,0,40.468,-79.982,15143
270,0,1,0,0,1,0,0,0,0,0,55.5,2.00698,0,42.639,-70.905,1945
271,0,1,1,0,0,0,0,0,0,0,33.29999911785126,3.11518,0,33.349,-112.491,85282
272,0,1,0,0,0,0,0,0,1,0,362.60000705718994,2.37216,0,40.991,-80.334,16159
273,0,1,0,0,0,0,0,0,1,0,29.60000044107437,2.3585,0,39.973,-75.749,19520
274,0,1,0,0,0,1,0,0,0,0,18.5,0.428565,0,45.273,-93.246,55303
275,1,0,1,0,0,0,0,0,0,0,88.80000352859497,3.11518,1,33.349,-112.491,85351
276,0,1,0,0,1,0,0,0,0,0,18.5,2.04101,0,42.289,-70.776,2052
277,0,1,0,0,0,0,0,1,0,0,25.89999955892563,1.70553,1,46.933,-97.248,58102
278,0,1,0,0,0,0,1,0,0,0,125.80000352859497,1.98276,0,39.66,-94.806,64506
279,0,1,0,0,0,0,1,0,0,0,33.29999911785126,1.68632,0,38.64,-90.444,63031
280,1,0,0,0,0,0,0,0,1,0,251.60000705718994,2.63999,1,41.437,-75.61,18411
281,0,1,0,0,0,0,0,1,0,0,140.59999823570251,1.35716,0,47.457,-98.237,58056
282,0,1,0,0,0,0,0,0,1,0,22.200000882148743,2.48365,0,40.367,-76.458,17042
283,1,0,0,0,0,0,0,0,0,1,358.89999294281006,0.537899,1,45.151,-86.037,49682
284,0,1,0,0,0,1,0,0,0,0,236.80000352859497,1.41027,0,46.892,-96.49,56560
