ResultNumber,ProvinceTerritory,Health Region2007,HealthRegionCode2007,ForwardSortationAreaCodes,TestDurationInDays,AverageRadonConcentrationInBqPerM3,,,,,,
52,NL,Eastern Regional Integrated Health Authority,1011,A0B,93,14,,,,,,
53,NL,Eastern Regional Integrated Health Authority,1011,A0A,92,90,,,,,,
54,NL,Eastern Regional Integrated Health Authority,1011,A1L,92,14,,,,,,
55,NL,Eastern Regional Integrated Health Authority,1011,A1L,93,14,,,,,,
56,NL,Eastern Regional Integrated Health Authority,1011,A1L,98,14,,,,,,
57,NL,Eastern Regional Integrated Health Authority,1011,A1L,99,67,,,,,,
58,NL,Eastern Regional Integrated Health Authority,1011,A1L,117,72,,,,,,
59,NL,Eastern Regional Integrated Health Authority,1011,A1L,96,86,,,,,,
60,NL,Eastern Regional Integrated Health Authority,1011,A1L,91,108,,,,,,
61,NL,Eastern Regional Integrated Health Authority,1011,A0A,104,91,,,,,,
62,NL,Eastern Regional Integrated Health Authority,1011,A0C,119,65,,,,,,
63,NL,Eastern Regional Integrated Health Authority,1011,A0C,92,31,,,,,,
64,NL,Eastern Regional Integrated Health Authority,1011,*,110,97,,,,,,
65,NL,Eastern Regional Integrated Health Authority,1011,A0E,115,21,,,,,,
66,NL,Eastern Regional Integrated Health Authority,1011,A0C,91,14,,,,,,
67,NL,Eastern Regional Integrated Health Authority,1011,A0E,102,17,,,,,,
68,NL,Eastern Regional Integrated Health Authority,1011,A0E,101,17,,,,,,
69,NL,Eastern Regional Integrated Health Authority,1011,A0E,92,73,,,,,,
70,NL,Eastern Regional Integrated Health Authority,1011,A1A,92,14,,,,,,
71,NL,Eastern Regional Integrated Health Authority,1011,A1A,91,18,,,,,,
72,NL,Eastern Regional Integrated Health Authority,1011,A1A,91,23,,,,,,
73,NL,Eastern Regional Integrated Health Authority,1011,A1A,94,40,,,,,,
74,NL,Eastern Regional Integrated Health Authority,1011,A1A,91,74,,,,,,
75,NL,Eastern Regional Integrated Health Authority,1011,A1B,103,59,,,,,,
76,NL,Eastern Regional Integrated Health Authority,1011,A1B,119,119,,,,,,
77,NL,Eastern Regional Integrated Health Authority,1011,A1E,116,16,,,,,,
78,NL,Eastern Regional Integrated Health Authority,1011,A1E,102,19,,,,,,
79,NL,Eastern Regional Integrated Health Authority,1011,A1E,92,24,,,,,,
80,NL,Eastern Regional Integrated Health Authority,1011,A1E,105,24,,,,,,
81,NL,Eastern Regional Integrated Health Authority,1011,A1E,91,27,,,,,,
82,NL,Eastern Regional Integrated Health Authority,1011,A1E,107,64,,,,,,
83,NL,Eastern Regional Integrated Health Authority,1011,A1E,95,120,,,,,,
84,NL,Eastern Regional Integrated Health Authority,1011,A1E,113,171,,,,,,
85,NL,Eastern Regional Integrated Health Authority,1011,A1E,145,206,,,,,,
86,NL,Eastern Regional Integrated Health Authority,1011,A1G,91,14,,,,,,
87,NL,Eastern Regional Integrated Health Authority,1011,A1G,93,29,,,,,,
88,NL,Eastern Regional Integrated Health Authority,1011,A1G,78,83,,,,,,
89,NL,Eastern Regional Integrated Health Authority,1011,A1H,98,14,,,,,,
90,NL,Eastern Regional Integrated Health Authority,1011,A1H,91,74,,,,,,
91,NL,Eastern Regional Integrated Health Authority,1011,A1H,91,75,,,,,,
92,NL,Eastern Regional Integrated Health Authority,1011,A1H,99,102,,,,,,
93,NL,Eastern Regional Integrated Health Authority,1011,A1H,134,196,,,,,,
94,NL,Eastern Regional Integrated Health Authority,1011,A1S,96,99,,,,,,
95,NL,Eastern Regional Integrated Health Authority,1011,A1K,93,14,,,,,,
96,NL,Eastern Regional Integrated Health Authority,1011,A1K,98,22,,,,,,
97,NL,Eastern Regional Integrated Health Authority,1011,A1K,95,69,,,,,,
98,NL,Eastern Regional Integrated Health Authority,1011,A0A,93,27,,,,,,
99,NL,Eastern Regional Integrated Health Authority,1011,A0E,92,181,,,,,,
100,NL,Eastern Regional Integrated Health Authority,1011,A0A,121,20,,,,,,
101,NL,Central Regional Integrated Health Authority,1012,A0G,92,95,,,,,,
102,NL,Central Regional Integrated Health Authority,1012,A1V,98,270,,,,,,
103,NL,Central Regional Integrated Health Authority,1012,A0H,102,21,,,,,,
104,NL,Central Regional Integrated Health Authority,1012,A0H,95,108,,,,,,
105,NL,Central Regional Integrated Health Authority,1012,A0K,91,14,,,,,,
106,NL,Central Regional Integrated Health Authority,1012,A0K,99,15,,,,,,
107,NL,Central Regional Integrated Health Authority,1012,A0K,92,18,,,,,,
108,NL,Central Regional Integrated Health Authority,1012,A0K,115,21,,,,,,
109,NL,Central Regional Integrated Health Authority,1012,A0K,91,38,,,,,,
110,NL,Central Regional Integrated Health Authority,1012,A0K,91,69,,,,,,
111,NL,Central Regional Integrated Health Authority,1012,A0K,101,73,,,,,,
112,NL,Central Regional Integrated Health Authority,1012,A0J,92,14,,,,,,
113,NL,Central Regional Integrated Health Authority,1012,A0J,91,15,,,,,,
114,NL,Central Regional Integrated Health Authority,1012,A0H,91,14,,,,,,
115,NL,Central Regional Integrated Health Authority,1012,A0G,95,14,,,,,,
116,NL,Central Regional Integrated Health Authority,1012,A0G,100,30,,,,,,
117,NL,Central Regional Integrated Health Authority,1012,A0H,104,14,,,,,,
118,NL,Central Regional Integrated Health Authority,1012,A0H,91,14,,,,,,
119,NL,Central Regional Integrated Health Authority,1012,A0H,96,16,,,,,,
120,NL,Central Regional Integrated Health Authority,1012,A0H,112,18,,,,,,
121,NL,Central Regional Integrated Health Authority,1012,A0H,91,22,,,,,,
122,NL,Central Regional Integrated Health Authority,1012,A0H,91,25,,,,,,
123,NL,Central Regional Integrated Health Authority,1012,A0H,91,92,,,,,,
124,NL,Central Regional Integrated Health Authority,1012,A0H,90,114,,,,,,
125,NL,Central Regional Integrated Health Authority,1012,A0H,91,218,,,,,,
126,NL,Central Regional Integrated Health Authority,1012,A0H,91,287,,,,,,
127,NL,Central Regional Integrated Health Authority,1012,A0H,120,14,,,,,,
128,NL,Central Regional Integrated Health Authority,1012,A0H,109,14,,,,,,
129,NL,Central Regional Integrated Health Authority,1012,A0H,96,14,,,,,,
130,NL,Central Regional Integrated Health Authority,1012,A0H,90,14,,,,,,
131,NL,Central Regional Integrated Health Authority,1012,A0H,91,15,,,,,,
132,NL,Central Regional Integrated Health Authority,1012,A0H,103,16,,,,,,
133,NL,Central Regional Integrated Health Authority,1012,A0H,113,20,,,,,,
134,NL,Central Regional Integrated Health Authority,1012,A0H,92,56,,,,,,
135,NL,Central Regional Integrated Health Authority,1012,A0H,91,82,,,,,,
136,NL,Central Regional Integrated Health Authority,1012,A0H,76,90,,,,,,
137,NL,Central Regional Integrated Health Authority,1012,A0G,93,16,,,,,,
138,NL,Central Regional Integrated Health Authority,1012,A0G,91,19,,,,,,
139,NL,Central Regional Integrated Health Authority,1012,A0H,91,14,,,,,,
140,NL,Central Regional Integrated Health Authority,1012,A0G,90,14,,,,,,
141,NL,Central Regional Integrated Health Authority,1012,A0G,91,14,,,,,,
142,NL,Central Regional Integrated Health Authority,1012,A0G,91,20,,,,,,
143,NL,Central Regional Integrated Health Authority,1012,A0G,106,21,,,,,,
144,NL,Central Regional Integrated Health Authority,1012,A0G,95,157,,,,,,
145,NL,Central Regional Integrated Health Authority,1012,A0G,92,14,,,,,,
146,NL,Central Regional Integrated Health Authority,1012,A0G,92,14,,,,,,
147,NL,Central Regional Integrated Health Authority,1012,A0K,91,26,,,,,,
148,NL,Central Regional Integrated Health Authority,1012,A0G,93,688,,,,,,
149,NL,Central Regional Integrated Health Authority,1012,A0G,103,24,,,,,,
150,NL,Central Regional Integrated Health Authority,1012,A0G,109,115,,,,,,
151,NL,Central Regional Integrated Health Authority,1012,A0G,90,142,,,,,,
152,NL,Central Regional Integrated Health Authority,1012,A0H,108,18,,,,,,
153,NL,Central Regional Integrated Health Authority,1012,A0K,97,14,,,,,,
154,NL,Central Regional Integrated Health Authority,1012,A0K,90,14,,,,,,
155,NL,Central Regional Integrated Health Authority,1012,A0G,111,14,,,,,,
156,NL,Central Regional Integrated Health Authority,1012,A0G,90,14,,,,,,
157,NL,Central Regional Integrated Health Authority,1012,A0G,91,25,,,,,,
158,NL,Central Regional Integrated Health Authority,1012,A0G,100,27,,,,,,
159,NL,Central Regional Integrated Health Authority,1012,A0H,92,15,,,,,,
160,NL,Central Regional Integrated Health Authority,1012,A0G,98,30,,,,,,
161,NL,Central Regional Integrated Health Authority,1012,A0G,91,43,,,,,,
162,NL,Central Regional Integrated Health Authority,1012,A0G,93,69,,,,,,
163,NL,Central Regional Integrated Health Authority,1012,A0G,91,1548,,,,,,
164,NL,Central Regional Integrated Health Authority,1012,A1V,91,14,,,,,,
165,NL,Central Regional Integrated Health Authority,1012,A1V,91,14,,,,,,
166,NL,Central Regional Integrated Health Authority,1012,A1V,91,14,,,,,,
167,NL,Central Regional Integrated Health Authority,1012,A1V,105,14,,,,,,
168,NL,Central Regional Integrated Health Authority,1012,A1V,113,14,,,,,,
169,NL,Central Regional Integrated Health Authority,1012,A1V,98,14,,,,,,
170,NL,Central Regional Integrated Health Authority,1012,A1V,104,14,,,,,,
171,NL,Central Regional Integrated Health Authority,1012,A1V,87,14,,,,,,
172,NL,Central Regional Integrated Health Authority,1012,A1V,123,16,,,,,,
173,NL,Central Regional Integrated Health Authority,1012,A1V,92,17,,,,,,
174,NL,Central Regional Integrated Health Authority,1012,A1V,90,17,,,,,,
175,NL,Central Regional Integrated Health Authority,1012,A1V,100,18,,,,,,
176,NL,Central Regional Integrated Health Authority,1012,A1V,91,18,,,,,,
177,NL,Central Regional Integrated Health Authority,1012,A1V,90,18,,,,,,
178,NL,Central Regional Integrated Health Authority,1012,A1V,95,18,,,,,,
179,NL,Central Regional Integrated Health Authority,1012,A1V,90,19,,,,,,
180,NL,Central Regional Integrated Health Authority,1012,A1V,90,23,,,,,,
181,NL,Central Regional Integrated Health Authority,1012,A1V,121,24,,,,,,
182,NL,Central Regional Integrated Health Authority,1012,A1V,91,26,,,,,,
183,NL,Central Regional Integrated Health Authority,1012,A1V,92,33,,,,,,
184,NL,Central Regional Integrated Health Authority,1012,A1V,92,37,,,,,,
185,NL,Central Regional Integrated Health Authority,1012,A1V,99,39,,,,,,
186,NL,Central Regional Integrated Health Authority,1012,A1V,100,68,,,,,,
187,NL,Central Regional Integrated Health Authority,1012,A1V,97,89,,,,,,
188,NL,Central Regional Integrated Health Authority,1012,A1V,93,91,,,,,,
189,NL,Central Regional Integrated Health Authority,1012,A1V,102,105,,,,,,
190,NL,Central Regional Integrated Health Authority,1012,A1V,93,144,,,,,,
191,NL,Central Regional Integrated Health Authority,1012,A1V,91,157,,,,,,
192,NL,Central Regional Integrated Health Authority,1012,A0G,90,14,,,,,,
193,NL,Central Regional Integrated Health Authority,1012,A0G,91,31,,,,,,
194,NL,Central Regional Integrated Health Authority,1012,A0G,104,42,,,,,,
195,NL,Central Regional Integrated Health Authority,1012,A0G,92,15,,,,,,
196,NL,Central Regional Integrated Health Authority,1012,A0G,98,19,,,,,,
197,NL,Central Regional Integrated Health Authority,1012,A0G,102,35,,,,,,
198,NL,Central Regional Integrated Health Authority,1012,A0G,92,49,,,,,,
199,NL,Central Regional Integrated Health Authority,1012,A0G,105,76,,,,,,
200,NL,Central Regional Integrated Health Authority,1012,A0G,117,125,,,,,,
201,NL,Central Regional Integrated Health Authority,1012,A0G,90,14,,,,,,
202,NL,Central Regional Integrated Health Authority,1012,A0G,120,20,,,,,,
203,NL,Central Regional Integrated Health Authority,1012,A0G,98,31,,,,,,
204,NL,Central Regional Integrated Health Authority,1012,A0G,82,74,,,,,,
205,NL,Central Regional Integrated Health Authority,1012,A2A,94,14,,,,,,
206,NL,Central Regional Integrated Health Authority,1012,A2A,91,14,,,,,,
207,NL,Central Regional Integrated Health Authority,1012,A2A,92,14,,,,,,
208,NL,Central Regional Integrated Health Authority,1012,A2A,124,14,,,,,,
209,NL,Central Regional Integrated Health Authority,1012,A2A,91,14,,,,,,
210,NL,Central Regional Integrated Health Authority,1012,A2A,98,14,,,,,,
211,NL,Central Regional Integrated Health Authority,1012,A2A,91,14,,,,,,
212,NL,Central Regional Integrated Health Authority,1012,A2A,92,14,,,,,,
213,NL,Central Regional Integrated Health Authority,1012,A2A,103,14,,,,,,
214,NL,Central Regional Integrated Health Authority,1012,A2A,91,15,,,,,,
215,NL,Central Regional Integrated Health Authority,1012,A2A,91,16,,,,,,
216,NL,Central Regional Integrated Health Authority,1012,A2A,93,17,,,,,,
217,NL,Central Regional Integrated Health Authority,1012,A2A,93,17,,,,,,
218,NL,Central Regional Integrated Health Authority,1012,A2A,109,19,,,,,,
219,NL,Central Regional Integrated Health Authority,1012,A2A,93,22,,,,,,
220,NL,Central Regional Integrated Health Authority,1012,A2A,97,23,,,,,,
221,NL,Central Regional Integrated Health Authority,1012,A2A,97,24,,,,,,
222,NL,Central Regional Integrated Health Authority,1012,A2A,119,24,,,,,,
223,NL,Central Regional Integrated Health Authority,1012,A2A,90,25,,,,,,
224,NL,Central Regional Integrated Health Authority,1012,A2A,91,25,,,,,,
225,NL,Central Regional Integrated Health Authority,1012,A2A,91,26,,,,,,
226,NL,Central Regional Integrated Health Authority,1012,A2A,99,27,,,,,,
227,NL,Central Regional Integrated Health Authority,1012,A2A,103,54,,,,,,
228,NL,Central Regional Integrated Health Authority,1012,A2A,110,117,,,,,,
229,NL,Central Regional Integrated Health Authority,1012,A2A,90,128,,,,,,
230,NL,Central Regional Integrated Health Authority,1012,A2A,92,237,,,,,,
231,NL,Central Regional Integrated Health Authority,1012,A2B,91,14,,,,,,
232,NL,Central Regional Integrated Health Authority,1012,A2B,94,14,,,,,,
233,NL,Central Regional Integrated Health Authority,1012,A2B,92,14,,,,,,
234,NL,Central Regional Integrated Health Authority,1012,A2B,93,28,,,,,,
235,NL,Central Regional Integrated Health Authority,1012,A2B,91,30,,,,,,
236,NL,Central Regional Integrated Health Authority,1012,A2B,92,31,,,,,,
237,NL,Central Regional Integrated Health Authority,1012,A2B,96,32,,,,,,
238,NL,Central Regional Integrated Health Authority,1012,A2B,94,111,,,,,,
239,NL,Central Regional Integrated Health Authority,1012,A0H,90,14,,,,,,
240,NL,Central Regional Integrated Health Authority,1012,A0H,94,16,,,,,,
241,NL,Central Regional Integrated Health Authority,1012,A0H,92,24,,,,,,
242,NL,Central Regional Integrated Health Authority,1012,A0G,92,17,,,,,,
243,NL,Central Regional Integrated Health Authority,1012,A0G,93,26,,,,,,
244,NL,Central Regional Integrated Health Authority,1012,A0G,89,37,,,,,,
245,NL,Central Regional Integrated Health Authority,1012,A0H,101,34,,,,,,
246,NL,Central Regional Integrated Health Authority,1012,A0G,90,51,,,,,,
247,NL,Central Regional Integrated Health Authority,1012,A0G,93,14,,,,,,
248,NL,Central Regional Integrated Health Authority,1012,A0J,200,14,,,,,,
249,NL,Central Regional Integrated Health Authority,1012,A0J,123,14,,,,,,
250,NL,Central Regional Integrated Health Authority,1012,A0K,93,14,,,,,,
251,NL,Central Regional Integrated Health Authority,1012,A0K,92,25,,,,,,
252,NL,Central Regional Integrated Health Authority,1012,A0H,98,14,,,,,,
253,NL,Central Regional Integrated Health Authority,1012,A0G,92,14,,,,,,
254,NL,Central Regional Integrated Health Authority,1012,A0G,100,14,,,,,,
255,NL,Central Regional Integrated Health Authority,1012,A0G,92,19,,,,,,
256,NL,Central Regional Integrated Health Authority,1012,A0G,103,23,,,,,,
257,NL,Central Regional Integrated Health Authority,1012,A0G,94,61,,,,,,
258,NL,Central Regional Integrated Health Authority,1012,A0G,116,105,,,,,,
259,NL,Central Regional Integrated Health Authority,1012,A0G,97,14,,,,,,
260,NL,Central Regional Integrated Health Authority,1012,A0G,91,19,,,,,,
261,NL,Central Regional Integrated Health Authority,1012,A0H,69,14,,,,,,
262,NL,Central Regional Integrated Health Authority,1012,A0K,96,14,,,,,,
263,NL,Central Regional Integrated Health Authority,1012,A0G,91,16,,,,,,
264,NL,Central Regional Integrated Health Authority,1012,A0G,97,22,,,,,,
265,NL,Central Regional Integrated Health Authority,1012,A0G,91,28,,,,,,
266,NL,Central Regional Integrated Health Authority,1012,A0G,92,29,,,,,,
267,NL,Central Regional Integrated Health Authority,1012,A0H,90,14,,,,,,
268,NL,Central Regional Integrated Health Authority,1012,A0H,90,14,,,,,,
269,NL,Central Regional Integrated Health Authority,1012,A0H,90,39,,,,,,
270,NL,Central Regional Integrated Health Authority,1012,A0G,91,14,,,,,,
271,NL,Central Regional Integrated Health Authority,1012,A0G,100,14,,,,,,
272,NL,Central Regional Integrated Health Authority,1012,A0H,102,14,,,,,,
273,NL,Central Regional Integrated Health Authority,1012,A0H,106,28,,,,,,
274,NL,Central Regional Integrated Health Authority,1012,A0J,92,30,,,,,,
275,NL,Central Regional Integrated Health Authority,1012,A0G,99,33,,,,,,
276,NL,Central Regional Integrated Health Authority,1012,A0G,125,110,,,,,,
277,NL,Central Regional Integrated Health Authority,1012,A0K,101,14,,,,,,
278,NL,Central Regional Integrated Health Authority,1012,A0J,113,143,,,,,,
279,NL,Central Regional Integrated Health Authority,1012,A0J,90,271,,,,,,
280,NL,Central Regional Integrated Health Authority,1012,A0J,118,14,,,,,,
281,NL,Central Regional Integrated Health Authority,1012,A0J,95,14,,,,,,
282,NL,Central Regional Integrated Health Authority,1012,A0J,91,14,,,,,,
283,NL,Central Regional Integrated Health Authority,1012,A0J,111,15,,,,,,
284,NL,Central Regional Integrated Health Authority,1012,A0J,92,31,,,,,,
285,NL,Central Regional Integrated Health Authority,1012,A0J,89,37,,,,,,
286,NL,Central Regional Integrated Health Authority,1012,A0J,95,109,,,,,,
287,NL,Central Regional Integrated Health Authority,1012,A0H,93,120,,,,,,
288,NL,Central Regional Integrated Health Authority,1012,A0H,94,164,,,,,,
289,NL,Central Regional Integrated Health Authority,1012,A0H,104,326,,,,,,
290,NL,Central Regional Integrated Health Authority,1012,A0H,92,613,,,,,,
291,NL,Central Regional Integrated Health Authority,1012,A0H,93,831,,,,,,
292,NL,Central Regional Integrated Health Authority,1012,A0G,91,14,,,,,,
293,NL,Central Regional Integrated Health Authority,1012,A0G,130,83,,,,,,
294,NL,Central Regional Integrated Health Authority,1012,A0G,94,14,,,,,,
295,NL,Central Regional Integrated Health Authority,1012,A0J,91,70,,,,,,
296,NL,Central Regional Integrated Health Authority,1012,A0G,90,14,,,,,,
297,NL,Central Regional Integrated Health Authority,1012,A0G,93,24,,,,,,
298,NL,Central Regional Integrated Health Authority,1012,A0G,90,150,,,,,,
299,NL,Central Regional Integrated Health Authority,1012,A0G,91,26,,,,,,
300,NL,Central Regional Integrated Health Authority,1012,A0K,90,60,,,,,,
301,NL,Central Regional Integrated Health Authority,1012,A0K,93,14,,,,,,
302,NL,Western Regional Integrated Health Authority,1013,A0N,110,104,,,,,,
303,NL,Western Regional Integrated Health Authority,1013,A0L,101,19,,,,,,
304,NL,Western Regional Integrated Health Authority,1013,A0L,91,22,,,,,,
305,NL,Western Regional Integrated Health Authority,1013,A0K,100,14,,,,,,
306,NL,Western Regional Integrated Health Authority,1013,A0N,92,32,,,,,,
307,NL,Western Regional Integrated Health Authority,1013,A0N,96,14,,,,,,
308,NL,Western Regional Integrated Health Authority,1013,A0N,95,14,,,,,,
309,NL,Western Regional Integrated Health Authority,1013,A0N,91,14,,,,,,
310,NL,Western Regional Integrated Health Authority,1013,A0N,91,14,,,,,,
311,NL,Western Regional Integrated Health Authority,1013,A0N,89,14,,,,,,
312,NL,Western Regional Integrated Health Authority,1013,A0N,87,77,,,,,,
313,NL,Western Regional Integrated Health Authority,1013,A0M,91,14,,,,,,
314,NL,Western Regional Integrated Health Authority,1013,A0N,92,17,,,,,,
315,NL,Western Regional Integrated Health Authority,1013,A0N,91,43,,,,,,
316,NL,Western Regional Integrated Health Authority,1013,A0N,92,161,,,,,,
317,NL,Western Regional Integrated Health Authority,1013,A0M,92,14,,,,,,
318,NL,Western Regional Integrated Health Authority,1013,A0M,122,14,,,,,,
319,NL,Western Regional Integrated Health Authority,1013,A0M,105,14,,,,,,
320,NL,Western Regional Integrated Health Authority,1013,A0M,104,14,,,,,,
321,NL,Western Regional Integrated Health Authority,1013,A0M,93,14,,,,,,
322,NL,Western Regional Integrated Health Authority,1013,A0M,92,14,,,,,,
323,NL,Western Regional Integrated Health Authority,1013,A0M,91,14,,,,,,
324,NL,Western Regional Integrated Health Authority,1013,A0M,115,25,,,,,,
325,NL,Western Regional Integrated Health Authority,1013,A0M,92,168,,,,,,
326,NL,Western Regional Integrated Health Authority,1013,A8A,91,362,,,,,,
327,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
328,NL,Western Regional Integrated Health Authority,1013,A2H,90,14,,,,,,
329,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
330,NL,Western Regional Integrated Health Authority,1013,A2H,93,14,,,,,,
331,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
332,NL,Western Regional Integrated Health Authority,1013,A2H,98,14,,,,,,
333,NL,Western Regional Integrated Health Authority,1013,A2H,90,14,,,,,,
334,NL,Western Regional Integrated Health Authority,1013,A2H,131,14,,,,,,
335,NL,Western Regional Integrated Health Authority,1013,A2H,109,14,,,,,,
336,NL,Western Regional Integrated Health Authority,1013,A2H,97,14,,,,,,
337,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
338,NL,Western Regional Integrated Health Authority,1013,A2H,94,14,,,,,,
339,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
340,NL,Western Regional Integrated Health Authority,1013,A2H,93,14,,,,,,
341,NL,Western Regional Integrated Health Authority,1013,A2H,96,14,,,,,,
342,NL,Western Regional Integrated Health Authority,1013,A2H,90,14,,,,,,
343,NL,Western Regional Integrated Health Authority,1013,A2H,113,14,,,,,,
344,NL,Western Regional Integrated Health Authority,1013,A2H,110,14,,,,,,
345,NL,Western Regional Integrated Health Authority,1013,A2H,100,14,,,,,,
346,NL,Western Regional Integrated Health Authority,1013,A2H,90,14,,,,,,
347,NL,Western Regional Integrated Health Authority,1013,A2H,102,14,,,,,,
348,NL,Western Regional Integrated Health Authority,1013,A2H,99,14,,,,,,
349,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
350,NL,Western Regional Integrated Health Authority,1013,A2H,96,14,,,,,,
351,NL,Western Regional Integrated Health Authority,1013,A2H,91,14,,,,,,
352,NL,Western Regional Integrated Health Authority,1013,A2H,111,16,,,,,,
353,NL,Western Regional Integrated Health Authority,1013,A2H,98,16,,,,,,
354,NL,Western Regional Integrated Health Authority,1013,A2H,91,17,,,,,,
355,NL,Western Regional Integrated Health Authority,1013,A2H,99,19,,,,,,
356,NL,Western Regional Integrated Health Authority,1013,A2H,91,19,,,,,,
357,NL,Western Regional Integrated Health Authority,1013,A2H,90,21,,,,,,
358,NL,Western Regional Integrated Health Authority,1013,A2H,93,21,,,,,,
359,NL,Western Regional Integrated Health Authority,1013,A2H,108,25,,,,,,
360,NL,Western Regional Integrated Health Authority,1013,A2H,111,25,,,,,,
361,NL,Western Regional Integrated Health Authority,1013,A2H,93,25,,,,,,
362,NL,Western Regional Integrated Health Authority,1013,A2H,91,28,,,,,,
363,NL,Western Regional Integrated Health Authority,1013,A2H,92,29,,,,,,
364,NL,Western Regional Integrated Health Authority,1013,A2H,91,31,,,,,,
365,NL,Western Regional Integrated Health Authority,1013,A2H,98,32,,,,,,
366,NL,Western Regional Integrated Health Authority,1013,A2H,94,33,,,,,,
367,NL,Western Regional Integrated Health Authority,1013,A2H,91,33,,,,,,
368,NL,Western Regional Integrated Health Authority,1013,A2H,103,38,,,,,,
