resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3
3084,Regina CMA,SK,S4Y,94,170,14
3085,Regina CMA,SK,S4Y,91,183,14
3086,Regina CMA,SK,S4Y,91,377,14
3087,Saskatoon CMA,SK,*,90,89,15
3088,Saskatoon CMA,SK,S7H,99,57,14
3089,Saskatoon CMA,SK,S7H,91,148,14
3090,Saskatoon CMA,SK,S7H,90,116,17
3091,Saskatoon CMA,SK,S7H,96,115,14
3092,Saskatoon CMA,SK,S7H,96,142,14
3093,Saskatoon CMA,SK,S7H,100,78,14
3094,Saskatoon CMA,SK,S7H,88,274,14
3095,Saskatoon CMA,SK,S7H,91,86,14
3096,Saskatoon CMA,SK,S7H,92,229,14
3097,Saskatoon CMA,SK,S7H,92,424,14
3098,Saskatoon CMA,SK,S7H,92,264,14
3099,Saskatoon CMA,SK,S7H,93,170,25
3100,Saskatoon CMA,SK,S7H,92,236,14
3101,Saskatoon CMA,SK,S7H,92,136,14
3102,Saskatoon CMA,SK,S7H,91,100,14
3103,Saskatoon CMA,SK,S7H,91,217,36
3104,Saskatoon CMA,SK,S7J,97,83,14
3105,Saskatoon CMA,SK,S7J,91,96,14
3106,Saskatoon CMA,SK,S7J,91,102,14
3107,Saskatoon CMA,SK,S7J,94,159,14
3108,Saskatoon CMA,SK,S7J,91,96,14
3109,Saskatoon CMA,SK,S7J,106,105,14
3110,Saskatoon CMA,SK,S7J,100,81,14
3111,Saskatoon CMA,SK,S7J,95,99,14
3112,Saskatoon CMA,SK,S7J,91,146,46
3113,Saskatoon CMA,SK,S7J,92,63,14
3114,Saskatoon CMA,SK,S7J,90,169,14
3115,Saskatoon CMA,SK,S7J,118,116,14
3116,Saskatoon CMA,SK,S7J,91,118,16
3117,Saskatoon CMA,SK,S7K,91,163,19
3118,Saskatoon CMA,SK,S7K,181,123,14
3119,Saskatoon CMA,SK,S7K,91,60,14
3120,Saskatoon CMA,SK,S7K,92,129,14
3121,Saskatoon CMA,SK,S7K,98,94,14
3122,Saskatoon CMA,SK,S7K,91,116,18
3123,Saskatoon CMA,SK,S7K,91,79,14
3124,Saskatoon CMA,SK,S7K,91,129,14
3125,Saskatoon CMA,SK,S7K,92,154,14
3126,Saskatoon CMA,SK,S7K,91,239,14
3127,Saskatoon CMA,SK,S7K,91,162,34
3128,Saskatoon CMA,SK,S7K,92,187,23
3129,Saskatoon CMA,SK,S7K,93,248,14
3130,Saskatoon CMA,SK,S7K,62,135,14
3131,Saskatoon CMA,SK,S7K,90,160,14
3132,Saskatoon CMA,SK,S7K,92,198,14
3133,Saskatoon CMA,SK,S7L,95,161,14
3134,Saskatoon CMA,SK,S7L,95,191,14
3135,Saskatoon CMA,SK,S7L,91,196,30
3136,Saskatoon CMA,SK,S7L,58,221,17
3137,Saskatoon CMA,SK,S7L,92,164,14
3138,Saskatoon CMA,SK,S7L,97,284,14
3139,Saskatoon CMA,SK,S7L,92,462,14
3140,Saskatoon CMA,SK,S7L,91,421,14
3141,Saskatoon CMA,SK,S7L,91,226,14
3142,Saskatoon CMA,SK,S7L,91,207,14
3143,Saskatoon CMA,SK,S7L,98,156,14
3144,Saskatoon CMA,SK,S7L,115,105,14
3145,Saskatoon CMA,SK,S7L,91,181,14
3146,Saskatoon CMA,SK,S7L,94,64,14
3147,Saskatoon CMA,SK,S7M,93,96,47
3148,Saskatoon CMA,SK,S7M,91,292,86
3149,Saskatoon CMA,SK,S7M,95,161,14
3150,Saskatoon CMA,SK,S7M,117,81,19
3151,Saskatoon CMA,SK,S7M,92,77,32
3152,Saskatoon CMA,SK,S7M,94,212,14
3153,Saskatoon CMA,SK,S7M,98,138,14
3154,Saskatoon CMA,SK,S7M,92,170,14
3155,Saskatoon CMA,SK,S7M,61,221,22
3156,Saskatoon CMA,SK,S7M,98,209,14
3157,Saskatoon CMA,SK,S7M,95,186,14
3158,Saskatoon CMA,SK,S7N,91,61,14
3159,Saskatoon CMA,SK,S7N,166,68,14
3160,Saskatoon CMA,SK,S7N,165,66,14
3161,Saskatoon CMA,SK,S7N,96,68,24
3162,Saskatoon CMA,SK,S7N,91,148,14
3163,Saskatoon CMA,SK,S7N,92,164,16
3164,Saskatoon CMA,SK,S7N,96,46,14
3165,Saskatoon CMA,SK,S7N,91,149,14
3166,Saskatoon CMA,SK,S7N,92,251,20
3167,Saskatoon CMA,SK,S7N,91,97,14
3168,Saskatoon CMA,SK,S7N,93,124,14
3169,Saskatoon CMA,SK,S7N,93,81,14
3170,Saskatoon CMA,SK,S7R,92,87,21
3171,Saskatoon CMA,SK,S7R,104,42,14
3172,Saskatoon CMA,SK,S7R,91,118,22
3173,Saskatoon CMA,SK,S7S,91,87,14
3174,Saskatoon CMA,SK,S7S,96,165,14
3175,Saskatoon CMA,SK,S7S,92,136,14
3176,Saskatoon CMA,SK,S7S,95,242,14
3177,Saskatoon CMA,SK,S7S,93,100,14
3178,Saskatoon CMA,SK,S7T,95,175,14
3179,Saskatoon CMA,SK,S7T,99,192,14
3180,Saskatoon CMA,SK,S7T,91,103,14
3181,Saskatoon CMA,SK,S7V,91,48,14
3182,Saskatoon CMA,SK,S7V,60,110,14
3183,Saskatoon CMA,SK,S7V,91,270,14
3184,Saskatoon CMA,SK,S7V,91,77,14
3185,Saskatoon CMA,SK,S7V,96,127,14
3186,Saskatoon CMA,SK,S7V,100,141,14
3187,Saskatoon CMA,SK,S7W,90,188,14
3188,Saskatoon CMA,SK,S7W,91,108,20
3189,Saskatoon CMA,SK,S7W,92,213,14
3190,Saskatoon CMA,SK,S7W,91,155,14
